Source IP,Destination IP,Source Port,Destination Port,Protocol,Latency (ms)
10.0.2.15,34.120.208.123,40660,443,TCP,0.114
34.120.208.123,10.0.2.15,443,40660,TCP,0.283
10.0.2.15,34.117.188.166,58891,443,UDP,17.227
34.117.237.239,10.0.2.15,443,55424,TCP,28.936
34.117.237.239,10.0.2.15,443,55424,TCP,0.516
34.120.208.123,10.0.2.15,443,40660,TCP,34.287
34.120.208.123,10.0.2.15,443,40660,TCP,0.337
10.0.2.15,34.117.188.166,54552,443,TCP,0.045
10.0.2.15,34.117.188.166,54552,443,TCP,0.374
34.117.188.166,10.0.2.15,443,54552,TCP,0.320
10.0.2.15,34.117.188.166,54552,443,TCP,0.117
34.117.188.166,10.0.2.15,443,54552,TCP,0.019
10.0.2.15,34.117.188.166,58891,443,UDP,1.349
10.0.2.15,34.117.237.239,55424,443,TCP,44.526
10.0.2.15,34.120.208.123,40660,443,TCP,46.745
10.0.2.15,34.117.188.166,54552,443,TCP,0.725
34.117.188.166,10.0.2.15,443,58891,UDP,26.143
10.0.2.15,34.117.188.166,58891,443,UDP,2.736
10.0.2.15,34.117.237.239,55424,443,TCP,0.091
10.0.2.15,34.117.237.239,55424,443,TCP,0.038
34.117.237.239,10.0.2.15,443,55424,TCP,0.367
10.0.2.15,34.120.208.123,40660,443,TCP,0.044
10.0.2.15,34.120.208.123,40660,443,TCP,0.411
34.120.208.123,10.0.2.15,443,40660,TCP,0.858
34.117.188.166,10.0.2.15,443,54552,TCP,176.103
10.0.2.15,34.117.188.166,54552,443,TCP,0.023
34.117.188.166,10.0.2.15,443,54552,TCP,0.339
10.0.2.15,8.8.8.8,60697,53,UDP,0.149
10.0.2.15,8.8.8.8,35243,53,UDP,0.134
8.8.8.8,10.0.2.15,53,60697,UDP,4.103
8.8.8.8,10.0.2.15,53,50202,UDP,2.549
10.0.2.15,172.217.168.182,60815,443,UDP,0.249
10.0.2.15,142.250.200.97,48780,443,UDP,1.620
142.250.200.97,10.0.2.15,443,48780,UDP,0.901
10.0.2.15,142.250.200.97,48780,443,UDP,1.944
172.217.168.182,10.0.2.15,443,60815,UDP,77.450
172.217.168.182,10.0.2.15,443,60815,UDP,0.194
142.250.200.97,10.0.2.15,443,48780,UDP,0.234
172.217.168.182,10.0.2.15,443,60815,UDP,1.867
172.217.168.182,10.0.2.15,443,60815,UDP,0.203
172.217.168.182,10.0.2.15,443,60815,UDP,0.308
172.217.168.182,10.0.2.15,443,60815,UDP,0.690
172.217.168.182,10.0.2.15,443,60815,UDP,0.599
10.0.2.15,172.217.168.182,60815,443,UDP,4.934
142.250.200.97,10.0.2.15,443,48780,UDP,17.749
172.217.168.182,10.0.2.15,443,60815,UDP,3.183
10.0.2.15,172.217.168.182,60815,443,UDP,0.340
172.217.168.182,10.0.2.15,443,60815,UDP,0.157
10.0.2.15,172.217.168.182,60815,443,UDP,0.207
172.217.168.182,10.0.2.15,443,60815,UDP,0.127
10.0.2.15,172.217.168.182,60815,443,UDP,0.045
10.0.2.15,172.217.168.182,60815,443,UDP,0.184
172.217.168.182,10.0.2.15,443,60815,UDP,1.134
172.217.168.182,10.0.2.15,443,60815,UDP,2.852
172.217.168.182,10.0.2.15,443,60815,UDP,0.166
172.217.168.182,10.0.2.15,443,60815,UDP,3.062
10.0.2.15,172.217.168.182,60815,443,UDP,0.187
172.217.168.182,10.0.2.15,443,60815,UDP,0.044
172.217.168.182,10.0.2.15,443,60815,UDP,0.001
172.217.168.182,10.0.2.15,443,60815,UDP,0.002
10.0.2.15,172.217.168.182,60815,443,UDP,0.893
172.217.168.182,10.0.2.15,443,60815,UDP,0.748
172.217.168.182,10.0.2.15,443,60815,UDP,0.087
10.0.2.15,172.217.168.182,60815,443,UDP,0.141
172.217.168.182,10.0.2.15,443,60815,UDP,0.218
10.0.2.15,172.217.168.182,60815,443,UDP,0.032
10.0.2.15,172.217.168.182,60815,443,UDP,0.431
172.217.168.182,10.0.2.15,443,60815,UDP,2.970
10.0.2.15,172.217.168.182,60815,443,UDP,0.027
10.0.2.15,172.217.168.182,60815,443,UDP,0.056
172.217.168.182,10.0.2.15,443,60815,UDP,0.246
172.217.168.182,10.0.2.15,443,60815,UDP,0.097
10.0.2.15,172.217.168.182,60815,443,UDP,0.078
172.217.168.182,10.0.2.15,443,60815,UDP,0.183
172.217.168.182,10.0.2.15,443,60815,UDP,0.138
172.217.168.182,10.0.2.15,443,60815,UDP,0.219
10.0.2.15,172.217.168.182,60815,443,UDP,4.459
172.217.168.182,10.0.2.15,443,60815,UDP,0.509
172.217.168.182,10.0.2.15,443,60815,UDP,0.795
142.250.200.97,10.0.2.15,443,48780,UDP,20.480
10.0.2.15,172.217.168.182,60815,443,UDP,0.196
172.217.168.182,10.0.2.15,443,60815,UDP,1.469
172.217.168.182,10.0.2.15,443,60815,UDP,0.002
172.217.168.182,10.0.2.15,443,60815,UDP,0.278
10.0.2.15,172.217.168.182,60815,443,UDP,0.075
10.0.2.15,172.217.168.182,60815,443,UDP,0.133
172.217.168.182,10.0.2.15,443,60815,UDP,0.281
10.0.2.15,172.217.168.182,60815,443,UDP,1.585
172.217.168.182,10.0.2.15,443,60815,UDP,0.464
172.217.168.182,10.0.2.15,443,60815,UDP,0.082
172.217.168.182,10.0.2.15,443,60815,UDP,0.035
172.217.168.182,10.0.2.15,443,60815,UDP,0.529
172.217.168.182,10.0.2.15,443,60815,UDP,0.612
172.217.168.182,10.0.2.15,443,60815,UDP,0.105
172.217.168.182,10.0.2.15,443,60815,UDP,1.056
172.217.168.182,10.0.2.15,443,60815,UDP,0.032
172.217.168.182,10.0.2.15,443,60815,UDP,3.631
172.217.168.182,10.0.2.15,443,60815,UDP,0.292
172.217.168.182,10.0.2.15,443,60815,UDP,0.229
10.0.2.15,172.217.168.182,60815,443,UDP,3.788
10.0.2.15,172.217.168.182,60815,443,UDP,0.619
172.217.168.182,10.0.2.15,443,60815,UDP,0.348
172.217.168.182,10.0.2.15,443,60815,UDP,0.551
172.217.168.182,10.0.2.15,443,60815,UDP,0.256
172.217.168.182,10.0.2.15,443,60815,UDP,0.287
10.0.2.15,172.217.168.182,60815,443,UDP,0.069
172.217.168.182,10.0.2.15,443,60815,UDP,0.374
172.217.168.182,10.0.2.15,443,60815,UDP,0.217
172.217.168.182,10.0.2.15,443,60815,UDP,0.022
172.217.168.182,10.0.2.15,443,60815,UDP,1.940
172.217.168.182,10.0.2.15,443,60815,UDP,0.303
172.217.168.182,10.0.2.15,443,60815,UDP,0.004
172.217.168.182,10.0.2.15,443,60815,UDP,0.001
172.217.168.182,10.0.2.15,443,60815,UDP,0.001
172.217.168.182,10.0.2.15,443,60815,UDP,0.070
172.217.168.182,10.0.2.15,443,60815,UDP,0.002
172.217.168.182,10.0.2.15,443,60815,UDP,0.177
10.0.2.15,172.217.168.182,60815,443,UDP,1.430
172.217.168.182,10.0.2.15,443,60815,UDP,0.095
172.217.168.182,10.0.2.15,443,60815,UDP,0.108
10.0.2.15,172.217.168.182,60815,443,UDP,0.074
172.217.168.182,10.0.2.15,443,60815,UDP,0.065
172.217.168.182,10.0.2.15,443,60815,UDP,0.002
172.217.168.182,10.0.2.15,443,60815,UDP,0.003
172.217.168.182,10.0.2.15,443,60815,UDP,2.986
172.217.168.182,10.0.2.15,443,60815,UDP,0.006
172.217.168.182,10.0.2.15,443,60815,UDP,0.002
172.217.168.182,10.0.2.15,443,60815,UDP,0.002
172.217.168.182,10.0.2.15,443,60815,UDP,9.490
172.217.168.182,10.0.2.15,443,60815,UDP,0.004
172.217.168.182,10.0.2.15,443,60815,UDP,0.001
172.217.168.182,10.0.2.15,443,60815,UDP,0.001
172.217.168.182,10.0.2.15,443,60815,UDP,0.103
10.0.2.15,8.8.8.8,43955,53,UDP,0.157
10.0.2.15,8.8.8.8,57634,53,UDP,0.114
10.0.2.15,142.250.184.182,39414,443,UDP,1.011
8.8.8.8,10.0.2.15,53,43955,UDP,1.089
10.0.2.15,8.8.8.8,51495,53,UDP,5.931
10.0.2.15,8.8.8.8,41121,53,UDP,0.551
8.8.8.8,10.0.2.15,53,57634,UDP,33.288
142.250.184.182,10.0.2.15,443,39414,UDP,0.376
10.0.2.15,142.250.184.182,39414,443,UDP,4.613
142.250.184.182,10.0.2.15,443,39414,UDP,0.437
142.250.184.182,10.0.2.15,443,39414,UDP,0.354
142.250.184.182,10.0.2.15,443,39414,UDP,0.458
10.0.2.15,142.250.184.182,39414,443,UDP,1.556
10.0.2.15,74.125.97.200,39026,443,TCP,22.551
8.8.8.8,10.0.2.15,53,51495,UDP,48.929
142.250.184.182,10.0.2.15,443,39414,UDP,0.004
142.250.184.182,10.0.2.15,443,39414,UDP,0.916
142.250.184.182,10.0.2.15,443,39414,UDP,0.799
10.0.2.15,142.250.184.182,39414,443,UDP,0.282
74.125.97.200,10.0.2.15,443,39040,TCP,39.000
74.125.97.200,10.0.2.15,443,39026,TCP,0.020
10.0.2.15,74.125.97.200,39040,443,TCP,2.706
10.0.2.15,74.125.97.200,39026,443,TCP,7.123
10.0.2.15,142.250.184.182,39414,443,UDP,22.238
74.125.97.200,10.0.2.15,443,38345,UDP,39.302
10.0.2.15,74.125.97.200,39040,443,TCP,0.018
74.125.97.200,10.0.2.15,443,38345,UDP,0.150
10.0.2.15,74.125.97.200,38345,443,UDP,1.005
10.0.2.15,74.125.97.200,39040,443,TCP,0.097
74.125.97.200,10.0.2.15,443,39040,TCP,1.883
